Field Name,Description,Format
id, See `ID <#id>`__,Object
type:,Source type: What kind of source is this? [ToDo: Identify an appropriate codelist for this field],string
attributedTo,"Attributed to: Which agent (individual, organisation or software process) was responsible for directly contributing this source. See `attributedTo <#attributedto>`__",Object
generatedBy,Generated by: Which activity led to the creation of this source? See `generatedBy <#generatedby>`__,Object
primarySource,"Primary source: A link to a primary source. This may be a resolvable URI, or some other identifier for the source.",uri string
derivedFrom,"Derived from: If this source was derived from a prior source either provide the identifier of a provenanceStatement about that prior source, or nest the provenace statement here.",
