Field Name,Description,Format
type,"Reason: The reason for this null statement. Codelist options: [``unknown``, ``noBeneficialOwners``, ``noNotifiableOwners``]",string enum (codelist)
description,"Description: Any supporting information about the absence of a confirmed beneficial owner. This field may be used to provide set phrases from a source system, or for a free-text explanation.",string
