code,title,description
selfDeclaration,Self declaration,"The information was provided by the person or entity referred to from `declarationSubject`, or by their authorised representative."
officialRegister,Official register,The information was taken from an official register.
thirdParty,Third party,"The information was provided by a third party, not directly related to the person, entity or interests described by this statement."
primaryResearch,Primary research,The information was provided as a result of research into primary sources.
verified,Verified,The information has been verified through the process documented in the associated description.
